みずがほしい,水がほしい
みずがのみたい,水が飲みたい
みずをいつのめますか,水をいつ飲めますか
こおりでいいからほしい,氷でいいからほしい
こおりをくちにいれたい,氷を口に入れたい
おなかがすいた,おなかが空いた
なにかたべたい,何か食べたい
はなせない,話せない
しゃべれない,しゃべれない
こえがでない,声が出ない
いきがもれる,息が漏れる
ことばがでない,言葉がでない
うまくかいわできない,うまく会話できない
ろれつがまわらない,ろれつが回らない
きこえない,聞こえない
みみなりがする,みみなりがする
みながなにをいっているかわからない,みながなにをいっているかわからない
あたまがぼんやりする,あたまがぼんやりする
かんがえがまとまらない,かんがえがまとまらない
おもいだせない,おもいだせない
きおくがない,きおくがない
てのかんかくがない,手の感覚がない
あしのかんかくがない,足の感覚がない
からだがういているよう,体が浮いているよう
こわい,こわい
あのひとがこわい,あの人がこわい
かんごしがこわい,看護師がこわい
いしがこわい,医師がこわい
ふあんだ,不安だ
ねむれない,眠れない
へんなものがみえる,変な物が見える
げんかくがみえる,幻覚が見える
へんなこえがきこえる,へんな声が聞こえる
へんなおとがきこえる,へんな音が聞こえる
げんちょうがある,幻聴がある
ころされる,殺される
ぼうりょくをふるわれる,暴力をふるわれる
わるぐちをいわれている,悪口を言われている
かんがえをぬきとられる,考えを抜き取られる
かんしされている,監視されている
わらわれている,笑われている
ばかにされている,馬鹿にされている
いきがくるしい,息がくるしい
いきができない,息ができない
さんそますくがくるしい,酸素マスクがくるしい
ちゅーぶがいたい,チューブが痛い
てんてきのはりがいたい,点滴の針がいたい
てんてきがはずれている,点滴がはずれている
てんてきがおかしい,点滴がおかしい
こうそくべるとがくるしい,拘束ベルトがくるしい
こうそくべるとをはずしてほしい,拘束ベルトをはずしてほしい
あつい,あつい
さむい,さむい
きぶんがわるい,気分が悪い
はきけがする,吐き気がする
あせをかいた,汗をかいた
あせがきもちわるい,汗が気持ち悪い
きがえたい,着替えたい
きがえさせてください,着替えさせてください
ぱじゃまをもってきてください,パジャマを持ってきてください
ぱじゃまをかってきてください,パジャマを買ってきてください
たおるをください,タオルをください
てぃっしゅをください,ティッシュをください
しっきんした,失禁した
おなかがいたい,おなかが痛い
いがいたい,胃が痛い
のどがいたい,喉が痛い
せなかがいたい,背中が痛い
あしをおろしたい,足をおろしたい
てをおろしたい,手をおろしたい
たいせいをかえたい,体制を変えたい
よこむきになりたい,横向きになりたい
おきあがりたい,起きあがりたい
たちあがりたい
ひつだんしたい
ひっきようぐがほしい
なにかかくものがほしい
めがねがほしい
めがねはどこですか
わたしのばっぐはどこですか
わたしのかばんはどこですか
わたしのとらんくはどこですか
わたしのさいふはどこですか
きちょうひんがしんぱいだ
わたしのけいたいでんわはどこですか
わたしのすまーとふぉんはどこですか
わたしのぱそこんはどこですか
けいたいでんわがほしい
すまーとふぉんがほしい
ぱそこんがほしい

といれにいきたい
てをあらいたい
かおをあらいたい
しゃわーをあびたい
ふろにはいりたい
このへやからでたい
ばいてんにいきたい
きつえんじょにいきたい
びょういんからでたい
いえにかえりたい

ここはどこですか
ここはなんというびょういんですか
あなたはだれですか
いまなんじですか
きょうはなんがつなんにちですか
わたしはいつからここにいるのですか
なにがおこったのですか
わたしのからだはどうなっているのですか
わたしのかおはどうなっているのですか
わたしのははどうなっているのですか
わたしのあしはありますか
わたしのてはありますか
わたしのゆびはありますか
わたしのかみのけはどうなっていますか


かぞくはぶじですか
こどもはぶじですか
おっとはぶじですか
ちちはぶじですか
はははぶじですか
あにはぶじですか
おとうとはぶじですか
あねはぶじですか
いもうとはぶじですか
そふはぶじですか
そぼはぶじですか
まごはぶじですか
おじはぶじですか
おばはぶじですか
ゆうじんはぶじですか
かいしゃのひとはぶじですか

かぞくをよんでください
こどもをよんでください
おっとをよんでください
ちちをよんでください
ははをよんでください
あにをよんでください
おとうとをよんでください
あねをよんでください
いもうとをよんでください
そふをよんでください
そぼをよんでください
まごをよんでください
おじをよんでください
おばをよんでください
ゆうじんをよんでください
かいしゃのひとをよんでください
かんごしをよんでください
いしをよんでください
せんせいをよんでください

へやにひとをいれないでください
あいたくないひとがいる
ひとりになりたいです
めんかいしゃぜつにしてください


たんとうのせんせいはだれですか
びょうきのせつめいがききたい


いつたいいんできますか
あるけるようになりますか
はしれるようになりますか
はなせるようになりますか
めがみえるようになりますか
みみがきこえるようになりますか
てがつかえるようになりますか
いつからしごとできるようになれますか
いつからがっこうにいけますか
またべんきょうできますか
またりょうりできますか
またうんどうできますか
またやきゅうができますか
またさっかーができますか
またらぐびーができますか
またすけーとができますか






